symbol,bars,avg_close,max_high,min_low,total_vol
NICCOPAR.NS,19,nan,98.99,72.0,437625
NIITLTD.NS,252,87.77182539682539,114.75,49.0,269803856
NORTHARC.NS,252,nan,334.0,206.0,211797709
NTCIND.NS,19,nan,147.0,126.3,47901
OAL.NS,250,nan,559.7,228.0,7995938
ORTINGLOBE.NS,249,nan,21.3,10.66,3797589
OSWALSEEDS.NS,250,12.995160000000002,20.28,9.66,28725668
PAKKA.NS,250,nan,178.84,69.1,34285794
PANAMAPET.NS,251,nan,599.6,229.0,88107363
PAR.NS,249,nan,180.0,78.05,7375190
PARAS.NS,251,870.4836653386453,1585.0,580.5,440720110
PCBL.NS,251,312.52063745019916,425.95,226.5,534603744
PENIND.NS,251,nan,279.9,129.1,200374512
PHOENIXLTD.NS,250,nan,2169.8,1465.6,131361751
PPL.NS,250,nan,334.4,163.21,26731266
