indicator_id,country_iso3,date,value,prev,yoy
SP.POP.TOTL,ARB,2023,482105978.0,471352066.0,0.022815031004870995
SP.POP.TOTL,ATG,2022,92840.0,,
SP.POP.TOTL,ATG,2023,93316.0,92840.0,0.005127100387763895
SP.POP.TOTL,BEL,2022,11680210.0,,
SP.POP.TOTL,BEL,2023,11779946.0,11680210.0,0.00853888757137072
SP.POP.TOTL,BHS,2022,397538.0,,
SP.POP.TOTL,BHS,2023,399440.0,397538.0,0.004784448279158218
SP.POP.TOTL,CAF,2022,5098039.0,,
SP.POP.TOTL,CAF,2023,5152421.0,5098039.0,0.010667238912844722
SP.POP.TOTL,CYM,2022,71591.0,,
SP.POP.TOTL,CYM,2023,73038.0,71591.0,0.020212037825983714
SP.POP.TOTL,ECS,2022,924267385.0,,
SP.POP.TOTL,ECS,2023,924805070.0,924267385.0,0.0005817418300441273
SP.POP.TOTL,ECU,2022,17823897.0,,
SP.POP.TOTL,ECU,2023,17980083.0,17823897.0,0.008762730170624303
SP.POP.TOTL,BIH,2022,3204802.0,,
SP.POP.TOTL,BIH,2023,3185073.0,3204802.0,-0.0061560745406424484
SP.POP.TOTL,CEB,2022,100071871.0,,
SP.POP.TOTL,CEB,2023,100183707.0,100071871.0,0.0011175568007517317
SP.POP.TOTL,COD,2022,102396968.0,,
SP.POP.TOTL,COD,2023,105789731.0,102396968.0,0.033133432232095
SP.POP.TOTL,CRI,2022,5081765.0,,
SP.POP.TOTL,CRI,2023,5105525.0,5081765.0,0.0046755408799895315
SP.POP.TOTL,FRO,2022,53903.0,,
SP.POP.TOTL,FRO,2023,54398.0,53903.0,0.009183162347179192
SP.POP.TOTL,GEO,2022,3712502.0,,
SP.POP.TOTL,GEO,2023,3715483.0,3712502.0,0.000802962530390556
SP.POP.TOTL,IRL,2022,5212836.0,,
SP.POP.TOTL,IRL,2023,5311538.0,5212836.0,0.018934414971044554
SP.POP.TOTL,LUX,2022,653103.0,,
SP.POP.TOTL,ABW,2022,107310.0,,
SP.POP.TOTL,ABW,2023,107359.0,107310.0,0.00045662100456621003
SP.POP.TOTL,AFW,2022,496366058.0,,
SP.POP.TOTL,AFW,2023,508318102.0,496366058.0,0.024079092047828942
SP.POP.TOTL,ARE,2022,10074977.0,,
SP.POP.TOTL,ARE,2023,10483751.0,10074977.0,0.04057319436064221
SP.POP.TOTL,AUS,2022,26018721.0,,
SP.POP.TOTL,AUS,2023,26659922.0,26018721.0,0.02464383241589777
SP.POP.TOTL,BDI,2022,13321097.0,,
SP.POP.TOTL,BDI,2023,13689450.0,13321097.0,0.0276518517956892
SP.POP.TOTL,CUB,2022,11059820.0,,
SP.POP.TOTL,CUB,2023,11019931.0,11059820.0,-0.003606659059550698
SP.POP.TOTL,DNK,2022,5903037.0,,
SP.POP.TOTL,DNK,2023,5946952.0,5903037.0,0.007439390944017461
SP.POP.TOTL,GBR,2022,67636000.0,,
SP.POP.TOTL,GBR,2023,68526000.0,67636000.0,0.013158672896090838
SP.POP.TOTL,BTN,2022,780914.0,,
SP.POP.TOTL,BTN,2023,786385.0,780914.0,0.007005893094502083
SP.POP.TOTL,CSS,2022,4497310.0,,
SP.POP.TOTL,CSS,2023,4519904.0,4497310.0,0.0050238920599202635
SP.POP.TOTL,DEU,2022,83177813.0,,
SP.POP.TOTL,DEU,2023,83287273.0,83177813.0,0.0013159759321875895
SP.POP.TOTL,ERI,2022,3409447.0,,
SP.POP.TOTL,ERI,2023,3470390.0,3409447.0,0.017874746256504353
SP.POP.TOTL,FIN,2022,5556106.0,,
SP.POP.TOTL,FIN,2023,5583911.0,5556106.0,0.005004404163635467
SP.POP.TOTL,GNQ,2022,1803545.0,,
SP.POP.TOTL,GNQ,2023,1847549.0,1803545.0,0.024398614950001247
SP.POP.TOTL,IND,2022,1425423212.0,,
SP.POP.TOTL,IND,2023,1438069596.0,1425423212.0,0.00887202052943698
SP.POP.TOTL,LSO,2022,2286110.0,,
SP.POP.TOTL,LSO,2023,2311472.0,2286110.0,0.011093954359151573
SP.POP.TOTL,MCO,2022,38931.0,,
SP.POP.TOTL,MCO,2023,38956.0,38931.0,0.0006421617733939534
SP.POP.TOTL,MMR,2022,53756787.0,,
SP.POP.TOTL,BEN,2022,13759501.0,,
SP.POP.TOTL,BEN,2023,14111034.0,13759501.0,0.025548382895571577
SP.POP.TOTL,BGD,2022,169384897.0,,
SP.POP.TOTL,BGD,2023,171466990.0,169384897.0,0.012292081743273724
SP.POP.TOTL,BRB,2022,282318.0,,
SP.POP.TOTL,BRB,2023,282336.0,282318.0,6.375789003889231e-05
SP.POP.TOTL,ESP,2022,47786102.0,,
SP.POP.TOTL,ESP,2023,48352528.0,47786102.0,0.011853362720399333
SP.POP.TOTL,FSM,2022,112114.0,,
SP.POP.TOTL,FSM,2023,112630.0,112114.0,0.004602458212176892
SP.POP.TOTL,HUN,2022,9605074.0,,
SP.POP.TOTL,HUN,2023,9592186.0,9605074.0,-0.0013417908076502065
SP.POP.TOTL,IBT,2022,6793703268.0,,
